Time,Force,EMG,
59.164,2.742854,0.05122121,
59.165,2.742854,0.05117528,
59.166,2.773379,0.05112936,
59.167,2.803904,0.05108344,
59.168,2.803904,0.05103732,
59.169,2.834429,0.05099111,
59.17,2.803904,0.05094461,
59.171,2.773379,0.0508963,
59.172,2.773379,0.05084981,
59.173,2.803904,0.05080369,
59.174,2.803904,0.05075777,
59.175,2.803904,0.05071203,
59.176,2.773379,0.05066639,
59.177,2.773379,0.05062085,
59.178,2.773379,0.05057531,
59.179,2.742854,0.05052967,
59.18,2.742854,0.05048213,
59.181,2.742854,0.05043677,
59.182,2.742854,0.05039171,
59.183,2.712329,0.05034693,
59.184,2.712329,0.05030234,
59.185,2.742854,0.05025785,
59.186,2.742854,0.05021326,
59.187,2.742854,0.05016858,
59.188,2.742854,0.05012361,
59.189,2.773379,0.05007654,
59.19,2.773379,0.05003138,
59.191,2.773379,0.04998641,
59.192,2.773379,0.04994154,
59.193,2.773379,0.04989657,
59.194,2.742854,0.04985141,
59.195,2.742854,0.04980615,
59.196,2.742854,0.04976051,
59.197,2.742854,0.0497144,
59.198,2.742854,0.04966618,
59.199,2.742854,0.04961978,
59.2,2.773379,0.04957357,
59.201,2.773379,0.04952727,
59.202,2.803904,0.04948106,
59.203,2.803904,0.04943465,
59.204,2.803904,0.04938816,
59.205,2.834429,0.04934137,
59.206,2.834429,0.04929411,
59.207,2.803904,0.04924466,
59.208,2.803904,0.04919711,
59.209,2.803904,0.04914956,
59.21,2.803904,0.04910201,
59.211,2.834429,0.04905437,
59.212,2.834429,0.04900654,
59.213,2.864954,0.04895832,
59.214,2.864954,0.04890963,
59.215,2.895479,0.04886036,
59.216,2.895479,0.04880861,
59.217,2.895479,0.04875859,
59.218,2.895479,0.04870836,
59.219,2.895479,0.04865795,
59.22,2.926004,0.04860735,
59.221,2.895479,0.04855627,
59.222,2.895479,0.04850481,
59.223,2.895479,0.04845287,
59.224,2.864954,0.04840026,
59.225,2.834429,0.04834508,
59.226,2.834429,0.0482918,
59.227,2.834429,0.04823862,
59.228,2.834429,0.04818525,
59.229,2.834429,0.04813178,
59.23,2.864954,0.04807822,
59.231,2.895479,0.04802447,
59.232,2.895479,0.04797033,
59.233,2.864954,0.04791572,
59.234,2.895479,0.04785891,
59.235,2.895479,0.04780401,
59.236,2.926004,0.0477494,
59.237,2.926004,0.04769479,
59.238,2.926004,0.04764008,
59.239,2.926004,0.04758537,
59.24,2.895479,0.04753038,
59.241,2.895479,0.0474751,
59.242,2.926004,0.04741934,
59.243,2.926004,0.04736129,
59.244,2.926004,0.04730534,
59.245,2.926004,0.04724948,
59.246,2.956529,0.04719373,
59.247,2.956529,0.04713797,
59.248,3.017579,0.04708211,
59.249,3.048104,0.04702607,
59.25,3.048104,0.04697003,
59.251,3.048104,0.0469136,
59.252,3.048104,0.04685526,
59.253,3.078629,0.04679912,
59.254,3.078629,0.04674356,
59.255,3.109154,0.04668837,
59.256,3.109154,0.04663357,
59.257,3.109154,0.04657895,
59.258,3.109154,0.04652463,
59.259,3.109154,0.04647049,
59.26,3.109154,0.04641655,
59.261,3.109154,0.04636089,
59.262,3.139679,0.0463078,
59.263,3.139679,0.04625538,
59.264,3.139679,0.04620354,
59.265,3.109154,0.04615217,
59.266,3.109154,0.04610119,
59.267,3.109154,0.0460504,
59.268,3.109154,0.04599989,
59.269,3.078629,0.04594948,
59.27,3.078629,0.04589744,
59.271,3.078629,0.04584789,
59.272,3.078629,0.04579901,
59.273,3.048104,0.0457506,
59.274,3.048104,0.04570258,
59.275,3.017579,0.04565484,
59.276,3.017579,0.04560748,
59.277,3.017579,0.04556032,
59.278,3.017579,0.04551344,
59.279,3.017579,0.04546503,
59.28,3.017579,0.0454192,
59.281,3.048104,0.04537414,
59.282,3.078629,0.04532984,
59.283,3.078629,0.04528601,
59.284,3.078629,0.04524276,
59.285,3.078629,0.04519999,
59.286,3.078629,0.0451576,
59.287,3.078629,0.04511549,
59.288,3.078629,0.04507214,
59.289,3.048104,0.04503119,
59.29,3.048104,0.04499109,
59.291,3.078629,0.04495156,
59.292,3.078629,0.04491241,
59.293,3.109154,0.04487374,
59.294,3.109154,0.04483517,
59.295,3.078629,0.04479679,
59.296,3.109154,0.04475841,
59.297,3.109154,0.0447184,
59.298,3.139679,0.04468041,
59.299,3.139679,0.04464288,
59.3,3.139679,0.04460555,
59.301,3.139679,0.04456832,
59.302,3.170204,0.04453118,
59.303,3.200729,0.04449394,
59.304,3.200729,0.04445661,
59.305,3.200729,0.04441899,
59.306,3.170204,0.04437946,
59.307,3.170204,0.04434185,
59.308,3.170204,0.04430442,
59.309,3.170204,0.04426718,
59.31,3.170204,0.04422995,
59.311,3.170204,0.04419271,
59.312,3.170204,0.04415538,
59.313,3.170204,0.04411767,
59.314,3.139679,0.04407967,
59.315,3.139679,0.04403938,
59.316,3.139679,0.0440008,
59.317,3.139679,0.04396214,
59.318,3.109154,0.04392337,
59.319,3.109154,0.04388432,
59.32,3.139679,0.04384489,
59.321,3.139679,0.04380498,
59.322,3.139679,0.04376431,
59.323,3.170204,0.04372278,
59.324,3.170204,0.04367838,
59.325,3.170204,0.04363532,
59.326,3.170204,0.04359178,
59.327,3.170204,0.04354767,
59.328,3.139679,0.04350289,
59.329,3.109154,0.04345745,
59.33,3.109154,0.04341114,
59.331,3.109154,0.04336379,
59.332,3.109154,0.04331538,
59.333,3.139679,0.04326373,
59.334,3.139679,0.04321331,
59.335,3.139679,0.04316243,
59.336,3.139679,0.04311087,
59.337,3.170204,0.04305874,
59.338,3.170204,0.04300584,
59.339,3.200729,0.04295209,
59.34,3.200729,0.04289738,
59.341,3.231254,0.04284143,
59.342,3.231254,0.04278205,
59.343,3.261779,0.04272409,
59.344,3.322829,0.04266547,
59.345,3.353354,0.04260618,
59.346,3.353354,0.04254613,
59.347,3.353354,0.04248521,
59.348,3.353354,0.04242334,
59.349,3.353354,0.04236023,
59.35,3.353354,0.04229579,
59.351,3.353354,0.04222752,
59.352,3.322829,0.04216078,
59.353,3.322829,0.04209338,
59.354,3.322829,0.0420253,
59.355,3.322829,0.04195637,
59.356,3.292304,0.04188657,
59.357,3.292304,0.04181592,
